id,title,key
1,跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究,文献 价值 结构 基础
2,饮食干预对腹膜透析患者营养状况的影响,状态 患者 水平 营养
3,胃癌术后患者参与饮食管理对其营养状况影响的研究,标准 营养 患者 饮食
4,饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”,关系 饭局 信任 人群
5,溃疡性结肠炎相关饮食影响及管理研究现状,数据 世界卫生组织 饮食 热点
6,跨地方饮食文化生产的过程研究──基于符号化的原真性视角,进程 人口 焦点 文化
7,医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果,指数 油脂 社区 医院
8,电动汽车示范运营的政策与商业模式创新:全球经验及中国实践,指标 全球 数据 手段
9,中国汽车工程学术研究综述·2017,领域 传统 交通 热点
10,新能源汽车产业专利趋势分析,方向 情景 技术 目标
11,新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究,产品 案例 汽车 阶段
12,电动汽车充电基础设施建设与政府策略分析,经验 地方 补贴 特征
13,基于市场表现的中国新能源汽车产业发展政策剖析,指标 数据 汽车 分类
14,北京市居民汽车使用的特征及其影响因素,工作日 心理 规模 数据
15,电动汽车分布式储能控制策略及应用,基础 能量 状态 时刻
16,基于动态分时电价的电动汽车充电站有序充电策略,水平 有序 成本 负荷
17,计及可入网电动汽车的微网系统经济调度,规模 经济 有序 负荷
18,含电动汽车和风电机组的虚拟发电厂竞价策略,公司 背景 因素 成本
19,考虑时空分布的电动汽车充电负荷预测方法,用户 区域 单位 设施
20,电动汽车移动储能辅助频率控制策略的研究,大量 结构 优势 状态
21,计及电动汽车充电预测的实时充电优化方法,汽车 技术 理论 时间
22,京津冀都市圈汽车产业空间布局演化研究,市场 汽车 因素 数据
23,基于出行链的电动汽车充电负荷预测模型,工作日 情景 交通 负荷
24,创客教育的价值潜能及其争议,理念 教师 公平 全球
25,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,数据 机会 农村 源头
26,发展教育大数据:内涵、价值和挑战,资产 产生 数据 高度
27,教育如何影响了人们的健康?——来自中国老年人的证据,关系 数据 老年人 高度
28,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,全球 关系 原则 历史
29,新媒体联盟2015地平线报告高等教育版,教学 报告 激励机制 信息化
30,美国高校实施创客教育的路径分析,社区 总结 产品 经验
31,教育信息化资源发展战略研究,意义 教学 信息化 案例
32,教育信息化的宏观政策与战略研究,意义 事业 信息 进程
33,智慧教育体系架构与关键支撑技术,教师 学校 学生 教学
34,创客教育:信息技术使能的创新教育实践场,教师 交流 文献 激励机制
35,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,劳动力 差距 市场 数据
36,中国农民工多维贫困的演进——基于收入与教育维度的考察,指数 劳动者 医疗保险 群体
37,创客教育连续统:激活众创时代的创新基因,教学 理念 课程 功能
38,“广谱式”创新创业教育的体系架构与理论价值,两极 价值 职业 模式
39,“互联网+”时代中国远程教育的机遇和挑战,传统 互联网 时代 战略
40,数字化时代的STEM教育与创客教育,课程 问题 评价 概念
41,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,教师 产品 进程 资金
42,收入风险、融资约束与人力资本积累——公共教育投资的作用,效果 数据 居民 劳动者
43,新型城镇化与社区教育发展研究,文献 总结 思路 战略
44,创客教育的价值潜能及其争议,教师 体验 产生 人才
45,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,机会 小学 数据 阶段
46,发展教育大数据:内涵、价值和挑战,资产 价值 数据 产生
47,教育如何影响了人们的健康?——来自中国老年人的证据,老年人 关系 高度 部分
48,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,关系 基础 历史 全面
49,新媒体联盟2015地平线报告高等教育版,报告 高校 教学 产生
50,美国高校实施创客教育的路径分析,高校 意识 学生 创业
51,教育信息化资源发展战略研究,教学 案例 信息化 方式
52,教育信息化的宏观政策与战略研究,进程 信息化 世界 事业
53,智慧教育体系架构与关键支撑技术,家长 方向 教师 教学
54,创客教育:信息技术使能的创新教育实践场,体验 文化 教师 文献
55,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,劳动力 市场 数据 阶段
56,中国农民工多维贫困的演进——基于收入与教育维度的考察,指数 劳动者 制度 医疗保险
57,创客教育连续统:激活众创时代的创新基因,教学 课程 人才 指导
58,“广谱式”创新创业教育的体系架构与理论价值,职业 创业 两极 关系
59,“互联网+”时代中国远程教育的机遇和挑战,水平 模式 技术 互联网
60,数字化时代的STEM教育与创客教育,时代 评价 师生 目标
61,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,教师 产品 进程 案例
62,收入风险、融资约束与人力资本积累——公共教育投资的作用,效果 居民 世界 数据
63,新型城镇化与社区教育发展研究,文献 战略 总结 思路
64,当代西方文论若干问题辨识——兼及中国文论重建,传统 方向 极端 经验
65,语言变革对中国现代文学形式发展的深度影响,深度 经验 总结 阶段
66,论文学地图,历史 结构 文学 功能
67,民间文学:转向文本实践的研究,传统 方法 过程 关系
68,世界诗学的构想,进程 文学 时代 产生
69,新文学对传统文化的批判与承续,历史 传统 价值观 因素
70,中国文学地理学的研究范式与学科融合趋势,文献 文学 意义 体系
71,从当下实践出发建立文学研究的中国话语,错误 文学 方式 声音
72,马克思经济全球化思想的哲学阐释逻辑,全球 科学 根源 趋势
73,基于游客视角的历史街区旅游发展模式影响机理及创新——以苏州平江路为例,信息 因素 结构 传统
74,马克思主义中国化的当代理论成果——学习习近平总书记系列重要讲话精神,时代 经验 阶段 原则
75,历史虚无主义思潮的表现、特点及其危害,指导 领域 评价 手段
76,马克思世界历史理论的方法论意义,意义 时代 历史 背景
77,法治与国家治理现代化,能力 依法 价值 法律
78,国家治理现代化进程中的国家审计:制度保障与实践逻辑,产生 历史 国家 制度
79,国家认同:全球化视野下的结构性分析,公民 结构 制度 经验
80,现代国家认同建构的政治逻辑,结构 关系 历史 产生
81,自然资源国家所有权公权说再论,意义 法律 行使 宪法
82,中国宪法上国家所有的规范含义,行政 财产 宪法 条款
83,加快法治建设促进国家治理体系和治理能力现代化,目标 能力 背景 国家
84,论国家治理现代化框架下的财政基础理论建设,关系 特征 制度 全面
85,依法治国与推进国家治理现代化,进程 法律 关系 宪法
86,国际金融合作视野中的金砖国家开发银行,银行 利益 市场 总体
87,论国家治理商数,技术 进程 经验 水平
88,国家认同视域下的公民道德建设,身份 价值 体验 关系
89,国家治理体系与治理能力研究:回顾与前瞻,方向 背景 方面 目标
90,我国国家资产负债表与自然资源资产负债表的编制与运用初探——以SNA 2008和SEEA 2012为线索的分析,资产 内容 任务 作者
91,社会自我规制与行政法的任务,企业 市场 模式 责任
92,法治社会建设论纲,过程 阶段 现状 国家
93,宪法上的“国家所有权”:一场美丽的误会,结构 历史 热点 主张
94,国家所有的法律表达及其解释,模式 概念 宪法 实际
95,论国家公园的公益性、国家主导性和科学性,全球 利益 收费 模式
96,地方法治建设及其评估机制探析,指数 现象 机制 特色
97,企业政治资源的诅咒效应——基于政治关联与企业技术创新的考察,企业 关系 产生 过度
98,中国政治传播研究的学术路径与现实维度,进程 强有力 时代 环境
99,中国特色社会主义政治发展的实践前提与创新逻辑,结构 目标 科学 道路
100,政治关联影响我国上市公司长期绩效的三大效应,文献 产生 企业 关系
101,政治关联、高管薪酬与企业未来经营绩效,经济 过度 能力 政府
102,反腐败与企业创新:基于政治关联的解释,经历 省份 性质 成本
103,何种信任与为何信任?——当代中国公众政治信任现状与来源的实证分析,视角 来源 信任 评价
104,政治经济学批判:追求经济的“政治和哲学实现”,价值 优势 高度 历史
105,慈善捐赠、政治关联与债务融资——民营企业与政府的资源交换行为,现实 关键 市场化 角度
106,民营企业的社会责任、政治关联与债务融资——来自中国资本市场的经验证据,企业 关系 经济 联系
107,论协商民主在宪法体制与法治中国建设中的作用,传统 人民 宪法 决策
108,政治关联、国际化战略与企业价值——来自中国民营上市公司面板数据的分析,深度 价值 市场 模式
109,政治关联与公开债务融资,规模 市场 方向 公司
110,中国周边地缘政治与地缘经济格局和对策,关系 现状 结构 态势
111,互联网的政治性使用与我国公众的政治信任——一项经验性研究,关系 电视 总结 互联网
112,“一带一路”的地缘政治想象与地区合作,理念 产生 模式 一带
113,国企高管政治晋升对企业并购行为的影响——基于企业成长压力理论的实证研究,指标 规模 机会 速度
114,市场化、政治价值观与中国居民的政府信任,进程 传统 信任 精神
115,司法机关依法独立行使职权研究,法律 法院 行政化 关系
116,移动新闻推荐技术及其应用研究综述,传统 总结 关键 新闻
117,“液态”的新闻业:新传播形态与新闻专业主义再思考——以澎湃新闻“东方之星”长江沉船事故报道为个案,社区 职业 互联网 事件
118,走向公共:新闻专业主义再出发,职业 危机 人人 新闻
119,数据新闻:“讲一个好故事”?——数据新闻对传统新闻的继承与变革,意义 作品 传统 结构
120,微信新闻:一个交往生成观的分析,体验 新闻 传统 信息
121,西方数据新闻中的中国:一个视觉修辞分析框架,全球 关系 新闻 现实
122,著作权法中不受保护的“时事新闻”,司法 原则 文体 文字
123,电子政务知识体系框架研究,文献 结构 关系 过程
124,电子病历命名实体识别和实体关系抽取研究综述,信息 基础 结构 方向
125,电子诉讼制度构建的法律基础,经历 法院 信息 结构
126,电子证据的关联性,指标 身份 民事 信息
127,从电子商务法到网络商务法——关于我国电子商务立法定位的思考,联合国 阶段 建议 问题
128,基于扎根理论方法的中俄跨境电子商务发展研究,意义 基础 方法 企业
129,我国跨境电子商务的发展模式与策略建议,全球 信息化 方面 国际
130,互联网金融发展、电子货币替代与预防性货币需求,产生 因素 互联网 背景
131,ICT、移动支付与电子货币,规模 方式 企业 信息
132,学生对电子书包的态度及理解研究,教师 小组 总结 技术
133,中国城市电子商务发展水平空间分布特征及影响因素,指数 规模 云南 结构
134,农业电子商务国内外研究现状与展望,利益 文献 视角 题材
135,第三方支付机构跨境电子支付服务监管的法律问题,银行 领域 消费者 法律
